mean_speed,max_acceleration,course_changes,modal
7.002367,5.669283,61,moto
8.276354,3.017501,57,moto
9.159243,1.785644,32,moto
8.567261,2.919391,44,moto
1.68143,1.847254,5,moto
6.018257,2.656652,2,moto
8.959217,3.277629,4,moto
8.789495,2.719378,6,moto
4.549094,2.372087,5,moto
8.174857,1.50597,2,moto
4.738493,2.865624,2,moto
3.172719,0.45567,0,moto
4.91455,1.609159,6,moto
2.500397,1.060453,2,moto
6.61283,4.283376,13,moto
11.065013,1.795156,17,moto
0.048684,0.213362,0,moto
0.660104,1.240846,2,moto
7.265254,1.621643,13,moto
5.05841,5.482493,9,moto
15.769007,1.009102,13,moto
9.373754,3.004299,11,moto
15.920185,0.655819,22,moto
8.842735,1.327514,9,moto
4.296224,1.508159,1,moto
5.140243,2.139133,3,moto
7.394872,1.465955,2,moto
5.784599,1.512021,10,moto
